"Sample Count","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Life Fit Hybrid Min","Life Fit Hybrid Max","Life Fit Hybrid Avg","Life Fit Hybrid Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence",
"203","4","8","7.530000","8","0","9","4.980000","0","0","6","3.520000","3","0","9","4.010000","4","1539",
"204","4","8","7.520000","8","0","9","5.210001","5","0","6","3.470000","4","0","10","3.949999","5","1541",
"205","5","8","7.570001","7","0","9","5.370001","7","0","6","3.640000","4","0","10","3.780000","0","1542",
"206","6","8","7.550001","8","0","9","5.660000","9","0","6","3.390000","5","0","10","4.000000","10","1543",
"207","5","8","7.550000","8","0","9","5.780000","5","0","6","3.550000","2","0","9","3.580000","5","1545",
"208","3","8","7.470000","7","0","9","5.890001","5","0","6","3.589999","5","0","9","3.750000","0","1546",
"209","4","8","7.419998","8","0","9","4.970000","7","0","6","3.750000","5","0","10","4.589999","4","1548",
"210","3","8","7.540000","8","0","9","5.200000","3","0","6","3.790000","3","0","9","4.280000","3","1549",
"211","4","8","7.750000","7","0","9","5.389999","7","0","6","3.839999","5","0","9","4.089998","5","1550",
"212","2","8","7.569999","8","0","9","5.220000","0","0","6","3.860000","4","0","10","3.730000","7","1552",
"213","3","8","7.599998","8","0","9","5.850000","7","0","6","3.500001","3","0","10","4.409999","4","1553",
"214","4","8","7.600000","8","0","9","6.139998","5","0","6","3.360000","4","0","10","3.900000","6","1554",
"215","6","8","7.570000","7","0","9","5.300000","0","0","6","3.879999","4","0","9","3.930000","3","1556",
"216","5","8","7.539999","8","0","9","5.319999","7","0","6","4.030000","4","0","10","3.860000","5","1557",
"217","5","8","7.490000","8","0","9","6.129999","7","0","6","3.670000","6","0","10","3.700001","6","1558",
"218","4","8","7.570000","7","0","9","5.610000","0","0","6","4.190000","3","0","9","4.120001","5","1560",
"219","5","8","7.680000","8","0","9","5.640000","5","0","6","3.730001","4","0","10","3.830000","5","1561",
"220","3","8","7.660001","8","0","9","5.339999","5","0","6","3.450000","2","0","10","4.340001","5","1562",
"221","2","8","7.610001","7","0","9","5.760001","0","0","6","3.999999","5","0","9","4.530000","5","1564",
"222","2","8","7.580002","8","0","9","5.550001","5","0","6","4.259999","0","0","9","3.610000","0","1565",
"223","4","8","7.700001","8","0","9","6.030001","5","0","6","3.889999","5","0","8","3.989999","5","1566",
"224","6","8","7.740001","8","0","9","5.630002","5","0","6","3.979999","6","0","9","3.810000","2","1568",
"225","4","8","7.600000","8","0","9","5.549999","7","0","6","3.800000","0","0","10","4.160001","0","1569",
"226","4","8","7.640000","7","0","9","5.349999","5","0","6","4.020000","5","0","9","3.430000","6","1570",
"227","5","8","7.660001","7","0","9","6.030001","7","0","6","3.980000","3","0","10","3.770000","0","1571",
"228","5","8","7.690000","8","0","9","5.720000","7","0","6","3.720000","4","0","10","4.020000","7","1573",
"229","5","8","7.630000","7","0","9","5.419999","9","0","6","3.670000","5","0","9","3.640000","5","1574",
"230","4","8","7.689999","8","0","9","5.649999","4","0","6","3.640000","5","0","9","3.709999","4","1575",
"231","5","8","7.700000","8","0","9","6.010001","9","0","6","3.460000","0","0","10","4.050001","3","1576",
"232","5","8","7.680000","8","0","9","5.920002","5","0","6","3.930000","6","0","10","4.079998","6","1578",
"233","5","8","7.740000","8","0","9","6.009999","9","0","6","3.990001","4","0","10","4.140000","5","1579",
"234","4","8","7.660000","8","0","9","5.910000","7","0","6","4.089998","4","0","9","4.120001","5","1580",
"235","3","8","7.629999","7","0","9","5.650001","7","0","6","3.910000","4","0","9","3.769999","0","1581",
"236","3","8","7.589999","7","0","9","5.780001","7","0","6","4.050000","6","0","10","4.250000","5","1583",
"237","3","8","7.650001","7","0","9","5.860001","0","0","6","3.950000","4","0","9","3.890000","5","1584",
"238","6","8","7.720001","8","0","9","5.650002","7","0","6","3.570001","5","0","10","3.909999","4","1585",
"239","4","8","7.700001","8","0","9","5.939999","7","0","6","3.650000","4","0","10","3.740000","5","1586",
"240","5","8","7.739999","8","0","9","5.680000","0","0","6","4.039999","2","0","10","4.290001","6","1588",
"241","5","8","7.709998","8","0","9","5.290000","5","0","6","4.299999","6","0","9","3.940001","4","1589",
"242","4","8","7.690000","7","0","9","5.560001","3","0","6","4.090001","6","0","9","3.660000","4","1590",
"243","5","8","7.800001","8","0","9","6.070001","0","0","6","4.089999","5","0","10","4.090001","3","1591",
"244","5","8","7.759999","8","0","9","5.570000","5","0","6","3.620001","3","0","10","4.190000","7","1592",
"245","6","8","7.800000","8","0","9","5.720002","8","0","6","3.989998","5","0","9","4.440000","3","1593",
"246","2","8","7.670000","8","0","9","6.220000","9","0","6","3.860000","5","0","10","4.020000","6","1595",
"247","4","8","7.600000","7","0","9","5.910000","7","0","6","3.470001","4","0","10","4.280000","6","1596",
"248","5","8","7.760000","8","0","9","5.780001","7","0","6","4.220001","4","0","9","4.110001","3","1597",
"249","5","8","7.750000","8","0","9","5.809999","9","0","6","3.730000","5","0","10","4.139999","4","1598",
"250","2","8","7.670000","8","0","9","6.190000","7","0","6","3.990000","5","0","10","3.870001","3","1599",
"251","6","8","7.830000","8","0","9","6.080000","0","0","6","3.880000","5","0","10","4.070000","4","1600",
"252","5","8","7.750000","8","0","9","5.410000","0","0","6","3.870000","6","0","9","4.410000","5","1602",
"253","2","8","7.749999","8","0","9","6.170001","0","0","6","4.129999","5","0","10","4.469999","6","1603",
"254","6","8","7.850000","8","0","9","5.850000","0","0","6","3.750000","3","0","9","3.740000","2","1604",
"255","4","8","7.810000","8","0","9","6.229999","5","0","6","4.120000","5","0","10","4.240001","9","1605",
"256","3","8","7.780001","6","0","9","5.539999","0","0","6","3.690000","0","0","10","4.069999","6","1606",
"257","3","8","7.820001","7","0","9","5.610000","6","0","6","4.170000","6","0","9","4.240000","6","1607",
"258","4","8","7.860001","8","0","9","6.070001","1","0","6","3.850000","6","0","9","3.999999","6","1608",
"259","5","8","7.910000","8","0","9","5.860000","7","0","6","3.919999","5","0","10","4.160000","3","1609",
"260","2","9","7.849999","8","0","9","5.910001","0","0","6","3.780001","5","0","9","4.600000","6","1611",
"261","5","8","7.930000","8","0","9","5.480001","7","0","6","3.880000","5","0","10","4.489999","6","1612",
"262","6","9","7.930001","8","0","9","6.280001","5","0","6","4.119999","4","0","10","3.960000","4","1613",
"263","3","9","7.880001","8","0","9","5.930001","9","0","6","3.870000","6","0","9","4.280000","8","1614",
"264","4","9","7.930000","8","0","9","5.329999","7","0","6","4.039999","0","0","9","4.550001","5","1615",
"265","1","9","7.789999","8","0","9","5.730000","0","0","6","3.840000","2","0","9","4.330000","6","1616",
"266","4","9","7.949999","8","0","9","6.300001","5","0","6","3.889999","0","0","8","3.780000","3","1617",
"267","5","9","7.860000","8","0","9","6.110000","5","0","6","4.040000","5","0","10","4.629999","0","1618",
"268","5","9","7.920001","6","0","9","6.270000","9","0","6","3.970001","3","0","10","4.170000","5","1619",
"269","4","9","7.860000","9","0","9","6.119998","8","0","6","3.910001","6","0","10","4.100001","3","1620",
"270","2","9","7.860000","8","0","9","6.150000","9","0","6","4.079999","6","0","10","4.110000","6","1621",
"271","3","9","7.840000","8","0","9","5.469999","7","0","6","4.199998","6","0","10","3.960001","4","1623",
"272","5","9","7.940001","8","0","9","6.400000","5","0","6","4.150001","0","0","9","4.460001","5","1624",
"273","3","9","7.940000","8","0","9","5.800001","9","0","6","3.920000","1","0","10","4.279998","0","1625",
"274","5","9","7.880003","7","0","9","6.830002","0","0","6","3.939999","0","0","9","3.879999","3","1626",
"275","5","9","7.990001","8","0","9","5.470000","9","0","6","3.830000","4","0","9","4.070000","3","1627",
"276","5","9","8.050005","8","0","9","6.230000","7","0","6","4.070000","4","0","9","4.280000","5","1628",
"277","2","9","7.860002","8","0","9","6.349998","9","0","6","4.180002","5","0","9","4.600000","3","1629",
"278","4","9","7.990001","8","0","9","6.210001","3","0","6","3.910000","6","0","10","4.410001","5","1630",
"279","5","9","7.990000","8","0","9","6.349999","7","0","6","4.140000","0","0","10","4.560000","3","1631",
"280","4","9","7.959999","8","0","9","6.580001","0","0","6","4.019999","6","0","9","3.929999","2","1632",
"281","2","9","7.990001","9","0","9","6.119999","7","0","6","4.280001","0","0","9","4.460000","3","1633",
"282","5","9","7.980001","8","0","9","5.680000","0","0","6","4.120002","3","0","9","4.280000","5","1634",
"283","4","9","7.990000","8","0","9","6.340000","0","0","6","4.069999","6","0","10","4.249999","6","1635",
"284","4","9","7.940000","6","0","9","6.099999","9","0","6","3.720000","2","0","10","4.300001","3","1636",
"285","5","9","8.029999","8","0","9","6.059999","0","0","6","4.360001","6","0","10","4.390000","3","1637",
"286","3","9","8.039996","8","0","9","6.480000","7","0","6","3.839999","4","0","10","4.079998","4","1638",
"287","4","9","7.930000","8","0","9","6.020001","7","0","6","3.820001","5","0","9","4.129999","6","1639",
"288","5","9","8.070000","8","0","9","6.240001","9","0","6","4.180002","6","0","10","4.499999","6","1640",
"289","2","9","7.960000","8","0","9","6.550000","7","0","6","4.090001","0","0","9","4.300000","4","1641",
"290","6","9","8.080003","7","0","9","6.339998","8","0","6","3.929998","4","0","9","4.410000","6","1642",
"291","3","9","7.970001","8","0","9","6.250002","5","0","6","4.210001","5","0","10","4.270000","4","1643",
"292","6","9","8.160002","8","0","9","6.600000","7","0","6","3.959998","2","0","10","3.860000","4","1644",
"293","3","9","8.120002","8","0","9","6.160001","9","0","6","4.270000","6","0","10","4.559999","6","1645",
"294","1","9","8.050002","9","0","9","5.909999","8","0","6","3.960000","5","0","9","4.180000","2","1646",
"295","6","9","8.060002","8","0","9","5.479999","7","0","6","4.230000","5","0","8","4.100000","2","1647",
"296","2","9","8.000001","8","0","9","6.160000","5","0","6","4.190000","5","0","10","4.220000","4","1648",
"297","6","9","8.090000","8","0","9","6.270001","9","0","6","4.270002","3","0","10","4.450000","4","1649",
"298","6","9","8.090001","9","0","9","6.220002","9","0","6","4.209999","3","0","9","4.430000","6","1650",
"299","5","9","8.050003","8","0","9","6.599999","8","0","6","4.230000","6","0","10","4.030001","5","1651",
"300","4","9","7.939999","8","0","9","5.960000","9","0","6","3.920000","6","0","10","4.039999","5","1652",
"301","4","9","8.060000","9","0","9","5.810000","5","0","6","3.990001","6","0","9","4.279998","6","1653",
"302","6","9","8.130001","8","0","9","6.240000","9","0","6","4.110001","5","0","9","3.979998","4","1654",
"303","4","9","7.860001","8","0","9","6.270000","9","0","6","4.400000","6","0","9","4.040000","6","1655",
"304","3","9","8.080005","8","0","9","6.350001","7","0","6","4.209999","5","0","9","4.150001","3","1656",
