"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"59","17","58","43.200001","55","3","17","7.800001","4","5","6","5.900000","6","1","7","4.700000","5","1","3","2.700000","3","1","4","2.799999","3","2","6","4.000000","4","402","445","689",
"60","14","58","41.200001","44","3","6","4.199999","4","6","6","6.000000","6","3","7","4.400000","5","2","4","2.800000","2","1","3","2.500000","3","1","6","3.900000","6","423","471","712",
"61","41","59","53.000000","54","3","6","4.500000","6","6","6","6.000000","6","1","7","4.600000","5","1","3","2.600000","1","2","3","2.800000","3","2","6","4.600000","6","445","497","737",
"62","28","61","49.099995","60","3","15","5.900000","6","6","6","6.000000","6","3","7","5.100000","5","2","3","2.800000","3","1","4","2.800000","4","1","6","4.100000","5","467","524","761",
"63","34","61","50.200001","56","2","8","4.400000","7","6","6","6.000000","6","2","7","4.800000","2","1","3","2.500000","2","2","4","3.000000","4","2","6","4.300000","5","491","552","786",
"64","36","61","52.699997","55","1","12","5.400000","12","6","6","6.000000","6","3","5","4.500000","5","1","3","2.800000","1","2","3","2.900000","3","3","6","4.500000","5","515","580","812",
"65","28","59","46.200001","42","3","11","6.800000","11","6","6","6.000000","6","2","7","5.000000","5","2","3","2.800000","3","1","4","2.700000","2","2","6","4.600000","5","540","609","838",
"66","45","65","51.699997","46","3","11","6.200000","3","6","7","6.300000","6","3","5","4.800000","3","0","3","2.200000","1","1","4","2.700000","3","4","5","4.700001","4","566","638","864",
"67","44","66","57.700001","60","1","12","5.300001","5","4","7","6.000000","6","3","5","4.600000","5","1","4","2.800000","3","3","4","3.100000","3","3","7","4.600000","6","592","668","891",
"68","22","67","51.000000","64","3","14","6.200001","4","6","7","6.100000","6","4","7","4.900001","4","2","3","2.800000","3","1","4","2.900000","2","2","6","3.800000","3","619","699","918",
"69","19","66","47.699997","43","3","10","5.500000","7","6","7","6.399999","7","3","5","4.600000","5","2","4","3.000000","3","2","3","2.800000","2","2","5","3.900000","3","648","730","945",
"70","46","70","59.500000","58","3","6","4.800001","3","6","7","6.500000","7","4","8","5.100000","5","2","4","3.200000","3","2","3","2.900000","3","2","5","4.300000","5","677","762","973",
"71","34","67","52.400002","47","3","12","6.000000","3","6","7","6.299999","6","1","7","4.500000","5","1","3","2.700000","3","1","6","3.100000","3","3","6","4.400000","5","706","794","1002",
"72","18","72","53.100002","72","3","10","5.200000","4","6","7","6.300000","6","3","7","4.600000","5","1","4","2.900000","3","1","4","2.700000","2","2","5","3.900000","5","737","827","1030",
"73","40","66","50.299995","40","3","10","5.700000","6","6","7","6.300000","6","2","5","4.400000","5","1","4","2.800000","4","1","3","2.600000","3","4","7","5.000001","5","769","861","1060",
"74","38","70","52.999996","53","1","12","4.900001","4","6","7","6.400000","7","3","7","4.500000","5","1","4","2.500000","3","1","3","2.500000","1","4","6","4.800000","5","801","895","1089",
"75","21","74","57.900002","52","3","16","6.400000","10","6","7","6.300000","7","3","7","4.500000","5","2","3","2.900000","2","1","4","2.800000","3","2","6","4.600000","4","835","930","1119",
"76","17","74","52.599998","62","2","9","4.900001","3","5","7","6.000000","6","1","7","4.300000","5","3","5","3.300000","3","3","4","3.100000","3","2","6","4.700000","6","869","965","1149",
"77","39","77","63.699997","75","3","11","6.200000","4","6","7","6.200000","6","3","7","4.500000","5","2","3","2.900000","3","1","4","2.700000","3","3","6","4.400000","4","904","1001","1180",
"78","14","78","60.500000","61","3","16","6.900001","8","6","7","6.500000","6","1","7","4.500000","7","2","3","2.800000","3","2","4","3.000000","3","1","6","4.200000","1","941","1038","1211",
"79","26","75","62.000000","56","3","19","6.800000","8","6","7","6.599999","6","3","5","4.600000","5","2","3","2.700000","3","3","4","3.200000","3","3","6","4.600000","3","978","1075","1243",
"80","33","80","65.199997","33","4","9","6.100000","9","6","7","6.400000","6","3","7","5.100000","5","2","4","2.900000","2","2","4","3.100000","3","1","6","3.800000","4","1016","1113","1275",
"81","41","74","60.299999","57","3","14","6.000000","5","6","7","6.400000","6","3","7","4.900000","5","1","3","2.500000","2","2","3","2.900000","3","2","6","4.000000","2","1055","1152","1307",
"82","27","81","61.399998","66","3","9","4.600000","4","6","7","6.500000","7","3","5","4.500000","5","1","3","2.500000","3","2","3","2.800000","2","3","6","4.300000","5","1095","1191","1340",
"83","30","80","62.899998","80","4","18","7.300001","4","6","7","6.699999","7","3","5","4.700000","3","1","3","2.300000","3","2","4","3.000000","2","2","6","4.300000","6","1136","1231","1373",
"84","36","82","65.599998","69","3","10","4.900001","4","6","7","6.500000","7","4","7","5.300000","5","1","4","2.700000","1","1","3","2.600000","3","3","6","4.700000","3","1178","1271","1407",
"85","30","85","59.999996","51","1","14","5.400001","3","6","7","6.599999","7","2","8","4.700000","5","1","4","2.500000","4","1","4","2.800000","3","0","6","3.200000","4","1221","1312","1441",
"86","29","86","56.500000","42","3","11","5.200000","4","6","7","6.699999","7","3","7","4.000000","5","1","4","2.600000","1","1","4","2.900000","3","1","7","4.500000","1","1265","1353","1475",
"87","44","87","67.200005","73","1","22","7.899999","1","6","7","6.599999","7","3","6","4.500000","3","2","4","2.900000","3","1","4","2.900000","3","3","6","4.000000","6","1311","1396","1510",
"88","23","88","66.099998","87","1","12","5.200000","5","6","7","6.599999","7","1","7","5.400000","1","1","3","2.500000","1","2","3","2.800000","3","3","6","4.400000","5","1357","1438","1545",
"89","33","89","72.599998","33","2","7","4.200000","3","6","7","6.699999","6","4","7","5.700000","7","2","5","3.100000","3","2","3","2.800000","3","2","6","4.100000","2","1404","1482","1581",
"90","53","89","74.700012","78","3","20","7.700000","20","4","7","6.400000","7","4","7","5.100000","5","2","4","2.800000","2","2","4","2.700000","2","1","6","4.400000","6","1453","1526","1617",
"91","36","90","68.000000","54","3","11","5.600000","4","6","7","6.699999","7","3","7","5.000000","5","2","3","2.900000","3","1","3","2.800000","3","2","6","4.200000","5","1502","1570","1653",
"92","13","90","69.999992","62","3","23","7.100000","4","6","7","6.800000","6","3","7","4.700000","7","2","4","2.800000","2","2","4","3.000000","4","3","7","5.000000","4","1553","1616","1690",
"93","52","93","79.100006","93","3","7","4.700000","3","6","7","6.699999","7","3","7","4.900000","4","2","4","2.800000","3","2","4","2.900000","3","2","7","4.800000","6","1605","1661","1727",
"94","48","87","72.399994","85","3","18","6.900000","4","6","7","6.900000","6","4","7","5.500000","4","2","4","3.100000","3","2","3","2.800000","3","3","6","4.500000","4","1657","1708","1765",
"95","36","95","76.599998","95","3","10","5.500000","10","6","7","6.800000","7","4","5","4.800001","5","1","4","2.900000","1","1","4","2.600000","3","1","6","3.800000","1","1712","1755","1803",
"96","44","95","80.800003","94","1","24","6.900000","6","6","7","6.500000","7","5","5","5.000000","5","1","3","2.700000","3","2","4","3.100000","4","3","7","5.100000","5","1767","1803","1842",
"97","54","91","76.100006","81","3","13","6.700001","13","5","7","6.500000","5","2","7","5.000000","2","2","4","2.900000","3","2","3","2.900000","3","1","6","4.000000","6","1823","1851","1880",
"98","54","96","83.100006","93","2","10","5.200000","5","6","7","6.699999","7","3","7","4.600000","4","2","3","2.900000","3","2","3","2.900000","3","3","6","4.600000","6","1881","1900","1920",
"99","27","99","76.900009","88","4","10","5.300000","10","6","7","6.699999","7","4","7","5.100000","5","2","3","2.700000","3","1","4","2.900000","3","2","5","3.400000","3","1940","1949","1959",
"100","32","97","70.499992","32","3","14","6.800000","4","6","7","6.699999","7","1","7","4.800000","1","2","3","2.800000","3","3","4","3.200000","4","3","6","4.400000","6","2000","2000","2000",
