"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"69","8","56","26.400000","19","2","2","2.000000","2","6","7","6.200000","7","3","3","3.000000","3","3","3","3.000000","3","3","3","3.000000","3","2","7","4.900001","3","1373","1372","1371",
"70","3","59","25.900000","3","1","2","1.800000","1","6","7","6.300000","6","2","3","2.900000","2","2","3","2.300000","3","2","2","2.000000","2","3","7","6.200000","7","1393","1393","1392",
"71","4","67","29.599998","8","2","2","2.000000","2","6","7","6.200000","7","1","3","2.800000","1","2","4","2.900000","3","2","3","2.900000","3","3","7","5.400000","5","1414","1413","1412",
"72","15","72","47.099995","68","1","2","1.900000","2","6","7","6.200000","6","3","3","3.000000","3","2","2","2.000000","2","2","2","2.000000","2","1","7","5.200000","3","1434","1433","1432",
"73","7","73","31.799999","11","2","2","2.000000","2","6","7","6.300000","6","3","3","3.000000","3","3","3","3.000000","3","3","3","3.000000","3","2","7","5.300000","6","1454","1453","1452",
"74","20","70","51.600002","58","1","2","1.900000","2","6","6","6.000000","6","3","3","3.000000","3","2","2","2.000000","2","1","2","1.900000","2","1","7","5.600000","6","1474","1474","1473",
"75","7","75","42.400002","30","2","2","2.000000","2","6","7","6.300000","7","2","3","2.900000","3","1","3","2.600000","3","1","3","2.500000","3","1","7","3.900000","1","1494","1494","1493",
"76","10","74","34.999996","28","1","2","1.900000","2","6","7","6.200000","7","3","3","3.000000","3","2","2","2.000000","2","1","2","1.900000","2","5","7","6.099999","7","1515","1514","1513",
"77","5","77","35.599998","77","1","2","1.900000","2","6","7","6.300000","7","1","3","2.800000","3","3","4","3.100000","3","2","3","2.900000","3","3","8","5.300000","3","1535","1534","1533",
"78","4","71","42.099998","69","2","2","2.000000","2","5","7","6.099999","7","2","3","2.900000","3","2","2","2.000000","2","2","2","2.000000","2","3","8","5.800001","4","1555","1554","1554",
"79","6","75","34.700001","15","2","2","2.000000","2","6","7","6.400000","6","3","3","3.000000","3","2","3","2.900000","3","2","3","2.900000","3","4","8","5.700000","7","1575","1575","1574",
"80","16","78","44.500000","16","1","2","1.900000","2","6","7","6.500000","7","3","3","3.000000","3","2","2","2.000000","2","1","2","1.700000","2","1","8","5.099999","7","1595","1595","1594",
"81","3","72","32.599998","51","1","2","1.900000","2","6","7","6.500000","7","3","3","3.000000","3","1","9","7.200000","7","12","16","14.200000","16","6","7","6.400000","6","1616","1615","1614",
"82","7","42","23.200003","42","2","2","2.000000","2","6","7","6.500000","7","1","3","2.600000","1","2","2","2.000000","2","2","2","2.000000","2","3","7","6.100000","7","1636","1635","1635",
"83","5","75","43.900002","5","2","2","2.000000","2","6","7","6.500000","6","3","3","3.000000","3","3","3","3.000000","3","3","3","3.000000","3","3","8","5.700000","5","1656","1656","1655",
"84","15","81","46.999996","16","1","2","1.900000","2","6","7","6.599999","7","2","3","2.900000","3","2","2","2.000000","2","2","2","2.000000","2","1","7","5.400000","6","1676","1676","1675",
"85","3","78","35.399998","3","2","2","2.000000","2","6","7","6.299999","6","3","3","3.000000","3","3","3","3.000000","3","3","3","3.000000","3","1","7","4.800000","5","1696","1696","1695",
"86","3","84","32.199997","37","1","2","1.900000","2","6","7","6.799999","7","3","3","3.000000","3","2","2","2.000000","2","2","2","2.000000","2","1","8","5.300000","5","1717","1716","1716",
"87","2","82","34.500000","7","2","2","2.000000","2","6","7","6.399999","7","1","3","2.800000","3","2","3","2.900000","3","1","3","2.800000","3","2","8","6.099999","7","1737","1736","1736",
"88","13","85","51.499996","73","2","2","2.000000","2","6","7","6.699999","7","2","3","2.900000","3","0","2","1.800000","2","2","3","2.300000","2","1","8","5.400000","7","1757","1757","1756",
"89","11","72","38.400002","50","1","2","1.900000","2","2","7","5.900000","6","1","3","2.800000","3","3","3","3.000000","3","3","3","3.000000","3","2","8","6.200000","7","1777","1777","1776",
