"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"65","7","65","36.700005","7","1","42","16.900000","2","6","6","6.000000","6","3","9","5.800000","5","2","16","5.200000","4","4","29","12.900001","7","3","8","6.300000","8","1292","39692","84038",
"66","5","64","41.000000","64","1","64","31.599998","9","6","7","6.100000","6","5","7","5.600000","5","4","33","15.599998","4","3","29","13.900001","3","5","9","7.400000","8","1313","42912","86664",
"67","13","67","36.700001","15","7","61","34.399998","34","6","7","6.100000","6","3","11","6.500000","11","4","25","10.400002","21","2","33","9.200000","7","5","9","6.200000","9","1333","46212","89331",
"68","3","65","40.000004","64","2","52","28.699999","3","6","7","6.100000","6","5","8","6.100000","5","3","28","8.700001","10","3","22","10.599999","22","3","8","6.200000","6","1353","49592","92038",
"69","31","69","51.500000","62","3","45","28.299999","24","6","7","6.200000","7","5","9","6.000000","7","4","34","14.500000","4","2","34","9.599998","4","5","9","6.200000","6","1373","53052","94785",
"70","7","62","45.600002","62","3","58","32.699997","27","5","6","5.900000","6","5","10","6.300000","7","4","29","9.700000","4","2","32","13.300000","32","1","8","6.500000","6","1393","56593","97573",
"71","10","59","34.799999","29","21","69","41.900002","26","6","7","6.100000","6","5","10","7.500000","7","3","32","10.200000","4","2","17","7.100000","4","5","9","6.900000","5","1414","60213","100402",
"72","5","69","37.199997","41","0","49","19.400000","27","6","7","6.100000","6","5","9","6.300001","5","4","36","17.100000","4","4","21","9.099999","4","4","8","6.200001","8","1434","63913","103270",
"73","18","72","44.700001","53","1","68","32.000000","48","6","7","6.400000","6","3","11","6.500000","11","4","32","10.900001","32","4","34","12.100000","19","5","9","6.800000","5","1454","67693","106180",
"74","9","72","45.900002","9","4","69","31.699999","13","6","7","6.500000","6","3","5","4.600000","4","3","22","7.800000","15","2","36","13.799999","4","5","9","7.699999","8","1474","71554","109129",
"75","7","73","38.100002","44","9","73","41.000000","61","6","7","6.200000","6","5","7","5.600000","5","0","30","9.200000","5","4","26","8.299999","5","5","9","7.000000","6","1494","75494","112119",
"76","5","59","30.000000","55","1","67","35.899998","15","3","7","6.000000","6","1","11","5.400000","5","3","37","16.500002","29","2","33","14.899999","4","1","9","5.600000","9","1515","79514","115149",
"77","6","53","31.300001","17","3","65","39.299999","60","6","7","6.500000","7","3","11","6.100000","5","4","31","9.400000","4","4","35","10.499999","4","5","9","6.700000","5","1535","83614","118220",
"78","8","67","31.700005","12","4","61","31.900000","55","6","7","6.699999","7","3","11","6.300001","8","4","36","12.900000","4","2","38","15.499999","2","5","9","7.100000","8","1555","87794","121331",
"79","4","78","42.899998","70","6","77","45.300003","72","6","7","6.500000","6","5","9","6.399999","7","4","24","8.400000","4","3","32","12.400000","27","5","9","6.900000","8","1575","92055","124483",
"80","6","76","37.099998","54","3","78","38.299999","78","6","7","6.500000","7","3","11","6.800000","7","3","19","7.600001","4","4","39","18.299999","35","4","9","5.900000","5","1595","96395","127675",
"81","3","71","45.200001","67","7","73","52.399998","58","6","7","6.599999","7","1","7","5.000000","1","4","34","14.600000","4","3","39","11.700000","26","5","9","7.600000","8","1616","100815","130907",
"82","2","70","47.400002","49","5","79","41.299999","79","6","7","6.500000","6","3","10","6.099999","7","4","37","15.400001","18","4","37","12.100000","4","4","8","5.900000","8","1636","105315","134180",
"83","6","73","43.500004","14","4","71","37.100002","4","6","7","6.500000","7","1","7","4.600000","5","4","39","14.499999","5","4","29","7.300001","4","3","8","5.900000","7","1656","109896","137493",
"84","8","76","38.599998","53","3","77","40.400002","77","6","7","6.500000","7","3","11","6.700000","9","4","40","15.500000","4","3","38","12.000000","4","3","9","5.900000","5","1676","114556","140847",
"85","19","75","42.400002","36","20","78","46.800003","60","6","7","6.700000","6","3","10","5.800000","5","4","38","19.600000","4","4","35","10.800000","15","2","9","5.800000","7","1696","119296","144241",
"86","14","86","45.300003","86","1","45","25.500000","45","6","7","6.400000","6","5","11","7.000000","5","4","37","10.600000","37","4","22","12.400000","4","6","9","7.200000","8","1717","124116","147675",
"87","3","72","33.400002","72","4","80","40.799999","40","5","7","6.599999","7","3","7","5.800000","7","4","38","13.700000","4","2","32","9.400002","11","3","9","6.500000","8","1737","129016","151150",
"88","8","80","39.000000","13","5","85","59.399998","73","5","7","6.699999","5","3","10","5.800000","5","3","42","11.800000","7","2","38","12.200000","2","5","8","6.400001","8","1757","133997","154665",
"89","4","77","50.500000","37","3","68","37.899998","48","6","7","6.599999","6","5","10","6.900000","7","3","17","7.200000","17","4","30","10.200001","6","5","9","7.000000","8","1777","139057","158221",
"90","2","90","34.999996","26","2","87","42.400002","47","5","7","6.400000","7","3","9","5.300000","5","4","35","13.599999","17","4","38","12.600000","31","5","9","7.400000","9","1797","144197","161817",
"91","24","88","50.900005","24","7","88","41.399998","61","6","7","6.400000","6","3","11","6.600000","5","3","43","17.799999","4","2","43","9.200000","2","4","8","6.500000","8","1818","149417","165453",
"92","2","78","31.399998","78","4","81","29.299999","5","6","7","6.699999","7","5","11","6.800000","5","4","43","23.600000","14","4","24","7.000000","4","6","8","6.400000","6","1838","154718","169130",
"93","3","81","38.799999","69","10","81","55.400002","77","6","7","6.899999","7","4","11","6.200000","6","4","33","13.499999","4","4","37","15.699999","4","6","10","7.500000","8","1858","160098","172847",
"94","9","93","40.900002","32","11","89","46.400002","37","6","7","6.699999","7","5","9","6.200000","7","4","30","12.099998","4","4","30","11.200000","15","4","10","5.900000","6","1878","165558","176605",
"95","2","86","46.600002","39","3","86","42.800003","34","6","7","6.599999","7","5","11","6.700000","5","2","43","17.500000","4","4","44","11.700000","5","3","10","6.200000","5","1898","171098","180403",
"96","12","93","48.099998","57","1","87","50.099998","53","6","7","6.800000","7","3","11","6.699999","5","2","34","10.000000","34","4","40","10.000000","4","5","9","7.700000","8","1919","176719","184242",
"97","8","84","42.299999","22","5","92","57.500000","31","6","7","6.599999","7","5","11","5.900000","11","3","39","13.199999","4","3","44","13.500001","3","5","9","6.900001","8","1939","182419","188120",
"98","13","92","48.799999","65","4","91","42.999996","51","6","7","6.699999","7","5","9","6.200000","7","4","43","17.900000","4","4","38","16.799999","4","7","9","7.900000","8","1959","188199","192040",
"99","2","99","44.500000","34","23","97","62.600006","23","6","7","6.800000","7","5","10","6.500000","7","2","44","19.100000","41","4","45","14.000000","28","4","10","7.000000","10","1979","194059","195999",
"100","8","91","47.700001","30","4","98","52.699997","32","6","7","6.599999","6","5","7","6.000000","5","4","45","17.999998","4","2","45","20.100000","2","1","10","7.600000","8","200000","199999","199999",
